Ano,Rodada,home_team,away_team,placar_casa,placar_visitante,resultado,FS_h,FT_h,FD_h,FF_h,RB_h,FC_h,CA_h,FinC_h,Finalizacoes_h,FS_a,FT_a,FD_a,FF_a,RB_a,FC_a,CA_a,FinC_a,Finalizacoes_a,Proporcao_C_h,Proporcao_Tot_h,Proporcao_C_a,Proporcao_Tot_a,resultado_v
2014,9,Santos,Criciúma,2.0,0.0,1,19.0,0.0,0.0,1.0,13.0,22.0,2.0,2.0,3.0,22.0,0.0,1.0,7.0,13.0,20.0,4.0,1.0,8.0,1.0,0.6666666666666666,0.0,0.0,[1 0 0]
2014,9,Coritiba,Goiás,3.0,0.0,1,25.0,0.0,3.0,2.0,9.0,17.0,4.0,3.0,5.0,16.0,1.0,2.0,1.0,10.0,25.0,2.0,3.0,4.0,1.0,0.6,0.0,0.0,[1 0 0]
2014,9,Figueirense,Atlético-PR,1.0,3.0,3,19.0,0.0,8.0,6.0,20.0,14.0,4.0,8.0,14.0,14.0,0.0,1.0,7.0,9.0,19.0,4.0,3.0,10.0,0.125,0.07142857142857142,1.0,0.3,[0 0 1]
2014,9,Vitória,Sport,0.0,1.0,3,25.0,0.0,2.0,3.0,18.0,19.0,4.0,2.0,5.0,18.0,0.0,2.0,3.0,16.0,27.0,3.0,2.0,5.0,0.0,0.0,0.5,0.2,[0 0 1]
2014,10,Sport,Botafogo,1.0,0.0,1,8.0,0.0,4.0,5.0,12.0,10.0,1.0,4.0,9.0,10.0,0.0,4.0,4.0,15.0,8.0,2.0,4.0,8.0,0.25,0.1111111111111111,0.0,0.0,[1 0 0]
2014,10,Corinthians,Internacional,2.0,1.0,1,15.0,0.0,1.0,3.0,15.0,22.0,3.0,2.0,5.0,21.0,0.0,3.0,6.0,14.0,14.0,4.0,3.0,9.0,1.0,0.4,0.3333333333333333,0.1111111111111111,[1 0 0]
2014,10,Santos,Palmeiras,2.0,0.0,1,12.0,0.0,1.0,1.0,11.0,17.0,1.0,2.0,3.0,17.0,0.0,4.0,2.0,11.0,12.0,3.0,4.0,6.0,1.0,0.6666666666666666,0.0,0.0,[1 0 0]
2014,10,Coritiba,Figueirense,0.0,2.0,3,16.0,0.0,5.0,13.0,6.0,20.0,1.0,5.0,18.0,19.0,0.0,1.0,3.0,12.0,18.0,2.0,2.0,5.0,0.0,0.0,1.0,0.4,[0 0 1]
2014,10,Grêmio,Goiás,0.0,0.0,2,11.0,1.0,5.0,13.0,11.0,7.0,1.0,6.0,19.0,6.0,0.0,5.0,3.0,6.0,12.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,10,Cruzeiro,Vitória,3.0,1.0,1,14.0,0.0,2.0,7.0,6.0,16.0,0.0,3.0,10.0,16.0,0.0,2.0,2.0,17.0,16.0,3.0,2.0,4.0,1.0,0.3,0.5,0.25,[1 0 0]
2014,10,Chapecoense,Atlético-MG,1.0,1.0,2,17.0,0.0,2.0,5.0,27.0,11.0,1.0,2.0,7.0,11.0,0.0,8.0,4.0,16.0,17.0,1.0,8.0,12.0,0.5,0.14285714285714285,0.125,0.08333333333333333,[0 1 0]
2014,10,Flamengo,Atlético-PR,1.0,2.0,3,13.0,1.0,3.0,5.0,10.0,14.0,1.0,4.0,9.0,11.0,0.0,1.0,3.0,8.0,13.0,3.0,2.0,5.0,0.25,0.1111111111111111,1.0,0.4,[0 0 1]
2014,10,Bahia,São Paulo,0.0,2.0,3,11.0,0.0,3.0,2.0,15.0,14.0,4.0,3.0,5.0,14.0,1.0,3.0,3.0,17.0,11.0,4.0,4.0,7.0,0.0,0.0,0.5,0.2857142857142857,[0 0 1]
